ID,Module,Solution,Key Summary,Excursion Releated
96,HDMx,PyPCS,"Enable follow product level by DVI operation 
Hold lot: Y (based on specific loss code)
Down HW: Y",
97,HDMx,ADVI/DVI IA,"Enable by default. Check with DVI/ADVI module: enable or not ?
Hold lot: based on RFC 121-2741
Down HW: based on RFC 121-2741
- ADVI IA LGA bottom side
- DVI IA LGA bottom side
- DVI IA BGA top/bottom side",
98,HDMx,Cell level bin-based,"Bin8 (VCC)
Bin15 (Open)
Bin15_DieCrack_EDM, Bin9 (Leakage), 
Bin10 (Short),
Bin11 (VIX), Bin13 (VOX), Bin97 (Thermal Diode), Bin98/99 (HW/SW alarm)
Bin9901_other/Bin9901_tester,
Bin25/ Bin46/Bin48/ Bin51/Bin54/ Bin75 ( /O Bins as needed) BinXofY_QA_FUSE",
99,HDMx,Lot level bin-based,"- Bin9801: Software alarm Add more FB9531 if needed (from TOS 3.10xx)
- Setup Bins: 
Missing DFF: IB53
ISEED ; Lot Level: IB92
Config generic lot level : IB14,IB19,IB27,IB28,IB31,IB42,IB45,IB49,IB53,IB60,IB62,IB90,IB92,IB93,IB94",
100,HDMx,"LowYield monitoring 
(All Bins)",Low Yield rule for All Bins,
101,HDMx,LowYield monitoring (Contact Bins),"Low_Yield_Contact_Bin (Bins=""IB8,IB9,IB10,IB11,IB13,IB15"")",
102,HDMx,Parametric_HFE_IN_TEMP,"To moniter chiller health by monitoring HFE in temp to the AP
Using token PCS_STIM_AP_HFE_IN_TEMP_MEAN",
103,HDMx,Parametric_StuckDiode,Detect stuck diode using token PCS_STIM_DIODET_UEIDATAX_STD. Check available token on ituff file ,
104,HDMx,Parametric_Bad_diode_hot,"To check for bad diode reading at start of test. Check ituff for token
PCS_CHECKDIEFORCEX or covered by Bin97xx
",
105,HDMx,Parametric_Heater_Monitor ,"Apply for CX1 products
To detect if a heater is defective (will show zero current)
2024.50.AT Integrated CCB.37.PCS
Parametric_Heater_Monitor use Token:
PCS_STIM_RAWHEATINGCURRENT_X_MAX",
106,HDMx,"Thermal monitoring 
(DTSMIN)","Minitor thermal head variation. Check with PDE if tokens are enabled (PCS_DTSMIN_XXX)
Request enable from WW04'25",
107,HDMx,CatalystPassThroughDefinition,Must have,
108,HDMx,Efuseduplication/DoubleStack,Must have,
109,HDMx,Rule for detecting bent substrate using open diode rule,"TSP: Bin9985 and SOTx = 255.9
CX1: Binxxx and compare SOTX (Based on historical cases to avoid invalid trigger)",
110,HDMx,"Set up the MCBO goal, Limit for SOT/TJDroop/Tjrise on Catalyst","Follow wiki intruction 
https://wiki.ith.intel.com/pages/viewpage.action?spaceKey=STTDTestProcessCOP&title=PCS+Related+BKM+Archives",
111,HDMx,Using PCS Recipe Checker to check any error,Use Skyhook to check errors before release to production,
112,HDMx,BRTI,BRTI: 121-2233 / Not enable due to have DVI IA/ ADVI,
113,HDMx,HDMTx tray map,"Enable by default (tool entity).
Hold lot: Y
Down HW: N",
114,HDMx,Duplicate collateral,"Enable by default (tool entity). Use unit level data to trigger if 2 set of physical HW have the same BLT name. (Data traceablity cconcern)
Hold lot: Y
Down HW: Y",
115,HDMx,DI issue script,"Enable by default (tool entity). Cover for upload data issue
Hold lot: Y
Down HW: Y",
116,HDMx,Exceed sum char,"Enable by default (tool entity). Use unit level data to trigger for lot have exceed summary letter when introduce multiple times ""W"")
Hold lot: Y
Down HW: Y",
117,HDMx,Enable PCS for FB1917 (Burnt failure mode),"Different prod will have different bin out so not applicable for all prod
-> Enable based on request from TRB team N+1: same collateral + levarage TP content - consider NPI",
118,HDMx,CX1 AP grounding check,"Will be updated after complete for  CX1 PAN under FWP LSI, TSP already had grounding cable.",
119,HDMx,Change the PCS Recipe configuration for Chisquare Generic to have TIU as first Rule to early detect any abnormal FM in socket,This method is to early down TIU for any abnormal FM in socket detection,
120,HDMx,Products run on unqualified skyline version,To prevent tool run with unqualified skyline version - CDAT #xRB learning from VNAT pratice: SW release memo/ conversion memo- No track proliferation plan ,
121,HDMx,SysC Startlot Health Check PMU Deviation – Skyline 3.5 build54 upgrade ,PA of PMU drifted (FIVR MRB) Applicable for Gen2 tools,
122,HDMx,Standardize AP pedestal cleaning process with VF,"Spec process - no need to track proliferation 
Already in TRB spec 75-6038, apply prod.",
123,HDMx,Optimize tool released process for tool/cell long idle time/ECO,"Apply for TSP/ CX1 (prods using LTIM).
Section 6.8 spec 75-5793. IF cells/tools ilde >3 days then  Option1: Run standard mechanical Or Option 2: Dispend LTIM.- no need to track proliferation",
124,HDMx,Spec'ed: optimize PM step from inspect to replace AP pedestal O-ring,Spec process - not product specific,
125,HDMx,,Spec process - not product specific,
126,HDMx,,Spec process - not product specific,
127,HDMx,,Spec process - not product specific,
128,HDMx,,,
129,HDMx,,System change - no need to track proliferation,
130,HDMx,,,
131,HDMx,,Product specific,
132,HDMx,,Spec process - not product specific,
133,HDMx,,"Target to enable from Lunar Lake and onwards
BU manage / PCS DTS Max reuired PCS DT MAX token only --> no need tracking apply for all product ",
134,HDMx,,Product specific,
135,HDMx,,Target to enable all product,
